,id,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3534,75117000BJ,48.88240252666666,2.3002427533333334,La Compagnie,48.88247058589733,2.3012672830517102,Restaurant
3535,75117000BJ,48.88240252666666,2.3002427533333334,Bonpoint,48.88322770191121,2.299834564838796,Kids Store
3536,75117000BL,48.88022908666667,2.305739746666667,CMG Sports Club One Monceau,48.880694672873666,2.3060006901670977,Gym / Fitness Center
3537,75117000BM,48.88156734545455,2.302397990909091,La Fille du Boucher,48.88174424136954,2.302783409919124,Steakhouse
3538,75117000BM,48.88156734545455,2.302397990909091,Les Demoiselles,48.8812845152534,2.3017709101234622,Bistro
3539,75117000BM,48.88156734545455,2.302397990909091,Boutique Marathon,48.881121833744736,2.3020422272538816,Sporting Goods Shop
3540,75117000BM,48.88156734545455,2.302397990909091,Villa Punjab,48.88088009805583,2.3021598823105243,Indian Restaurant
3541,75117000BM,48.88156734545455,2.302397990909091,Les Enfants Gâtés,48.88145994920155,2.301796010585117,Bakery
3542,75117000BM,48.88156734545455,2.302397990909091,La Marmite de Boeuf,48.88163160410089,2.3031571525377585,Chinese Restaurant
3543,75117000BN,48.88256082307692,2.306045184615385,Le Valentin,48.881746301373035,2.3055618013618657,French Restaurant
3544,75117000BO,48.881401299999986,2.310175865,Guido de Luca,48.881731,2.310147,Italian Restaurant
3545,75117000BP,48.882493406250006,2.31332995,Aux Merveilleux de Fred,48.88226631768061,2.31386661529541,Pastry Shop
3546,75117000BP,48.882493406250006,2.31332995,Brigitte,48.8819988628451,2.313780198002863,French Restaurant
3547,75117000BP,48.882493406250006,2.31332995,L'edmond,48.88223373870631,2.31319191093263,Hotel
3548,75117000BP,48.882493406250006,2.31332995,Subway,48.881996087904035,2.3142386283898304,Sandwich Place
3549,75117000BQ,48.88329203999999,2.310977846666667,Place du Général Catroux,48.88261120386382,2.3104599594163693,Plaza
3550,75117000BR,48.88471765333333,2.308048266666667,Fratelli,48.884824165242485,2.3077283241114595,Italian Restaurant
3551,75117000BR,48.88471765333333,2.308048266666667,L'Agapé,48.88488908391538,2.306930422782898,French Restaurant
3552,75117000BR,48.88471765333333,2.308048266666667,Charles Traiteur,48.88545437591828,2.307743017398156,Bakery
3553,75117000BR,48.88471765333333,2.308048266666667,Pavillon Monceau,48.88545489078481,2.3080058488947883,Hotel
3554,75117000BR,48.88471765333333,2.308048266666667,Les Délices de Monceau,48.88498972281229,2.307177170951036,Bakery
3555,75118000BE,48.8954418875,2.3431814833333333,Les Initiés,48.895869,2.34319,Bistro
3556,75120000BM,48.867867147540984,2.403355093442623,Au Chat Qui Pêche,48.868068295683486,2.4023908355667736,French Restaurant
3557,75120000BM,48.867867147540984,2.403355093442623,Tavi Li Pizza,48.86793467748996,2.4036654285124506,Pizza Place
